Iteration	Score
1	144.72369384765625
2	129.8821563720703
3	148.98291015625
4	126.5593032836914
5	129.16867065429688
6	117.80760192871094
7	104.83106994628906
8	91.18562316894531
9	77.89361572265625
10	63.84241485595703
11	49.983219146728516
12	37.156673431396484
13	26.039554595947266
14	17.243335723876953
15	10.926212310791016
