Iteration	Score
1	2.3303656005859374
2	2.180153350830078
3	2.0737928771972656
4	1.9414166259765624
5	1.7772857666015625
6	1.6599502563476562
7	1.6176800537109375
8	1.2261508178710938
9	1.0836764526367189
10	1.0961930847167969
11	0.8141673278808593
12	0.6729780578613281
13	0.7217564392089844
14	0.6559061431884765
15	0.5690242767333984
16	0.5612754058837891
17	0.7239190673828125
18	0.3731906127929687
19	0.37477100372314454
20	0.4397459030151367
21	0.41915050506591794
22	0.41533401489257815
23	0.48307647705078127
24	0.4805047607421875
25	0.4484872817993164
26	0.2830213165283203
27	0.3889862060546875
28	0.43395503997802737
29	0.29318965911865236
30	0.46747764587402346
31	0.3563543319702148
32	0.3644563293457031
33	0.4115167999267578
34	0.37321250915527343
35	0.39377239227294925
36	0.32438610076904295
37	0.5262635040283203
38	0.268602294921875
39	0.26168025970458986
40	0.35720211029052734
41	0.23166627883911134
42	0.369000244140625
43	0.22063753128051758
44	0.266860237121582
45	0.3387342071533203
46	0.2815310287475586
47	0.21978206634521485
48	0.2765815353393555
49	0.18946578979492187
50	0.3615631103515625
51	0.4227320861816406
52	0.43166122436523435
53	0.13086868286132813
54	0.29086616516113284
55	0.3307535171508789
56	0.20418525695800782
57	0.2752843856811523
58	0.39619682312011717
59	0.39062843322753904
60	0.2424913787841797
61	0.20335567474365235
62	0.35255664825439453
63	0.20208026885986327
64	0.20047061920166015
65	0.21342281341552735
66	0.1878813934326172
67	0.1684807586669922
68	0.27252836227416993
69	0.18106557846069335
70	0.16570960998535156
71	0.18487102508544923
72	0.37851654052734374
73	0.14888469696044923
74	0.2648784255981445
75	0.23494115829467774
76	0.15647254943847655
77	0.34255760192871093
78	0.18396171569824218
79	0.1821699333190918
80	0.3156024932861328
81	0.3520637512207031
82	0.21594831466674805
83	0.32216434478759765
84	0.25672943115234376
85	0.33118328094482424
86	0.2067934226989746
87	0.1548284912109375
88	0.30127342224121095
89	0.2761049461364746
90	0.20819873809814454
91	0.12522510528564454
92	0.20794139862060546
93	0.20906274795532226
94	0.208790340423584
95	0.19823040008544923
96	0.2310807228088379
97	0.2511695671081543
98	0.12999109268188477
99	0.2578133010864258
100	0.11266448020935059
101	0.3330436325073242
102	0.20978435516357422
103	0.23193798065185547
104	0.14692296028137208
105	0.17948871612548828
106	0.17939067840576173
107	0.1368642807006836
108	0.1222651481628418
109	0.18218339920043947
110	0.1678415298461914
111	0.20746931076049804
112	0.1301933479309082
113	0.17028427124023438
114	0.21336183547973633
115	0.20377422332763673
116	0.09093016624450684
117	0.14429460525512694
118	0.15796661376953125
119	0.27687965393066405
120	0.2673138427734375
121	0.17547121047973632
122	0.11135626792907714
123	0.08181974411010742
124	0.14668458938598633
125	0.17241573333740234
126	0.1630707550048828
127	0.1983175277709961
128	0.30177001953125
129	0.1267707061767578
130	0.12270187377929688
131	0.0913221263885498
132	0.1850542449951172
133	0.2015641975402832
134	0.18074100494384765
135	0.13849761009216308
136	0.20605777740478515
137	0.15862360954284668
138	0.14131664276123046
139	0.19208120346069335
140	0.14360277175903322
141	0.2605617904663086
142	0.04448570251464844
143	0.14563796997070313
144	0.16132301330566406
145	0.05637153625488281
146	0.2938220024108887
147	0.2504935073852539
148	0.1039570426940918
149	0.09940473556518555
150	0.0685316801071167
151	0.10352067947387696
152	0.0722364330291748
153	0.17102367401123048
154	0.26741321563720705
155	0.07732411861419677
156	0.09138477325439454
157	0.1759493637084961
158	0.08720888137817383
159	0.12514026641845702
160	0.12786109924316405
161	0.13768606185913085
162	0.14256194114685058
163	0.1566051197052002
164	0.08896451950073242
165	0.23036752700805663
166	0.13137638092041015
167	0.10871688842773437
168	0.151319580078125
169	0.03601250886917114
170	0.10564284324645996
171	0.0645163631439209
172	0.1713213539123535
173	0.18261487960815428
174	0.04271706581115722
175	0.0705649471282959
176	0.14366619110107423
177	0.08333173751831055
178	0.10824442863464355
179	0.15536385536193847
180	0.13972265243530274
181	0.04234422206878662
182	0.08051158905029297
183	0.04808818817138672
184	0.15955105781555176
185	0.052203707695007324
186	0.17567611694335938
187	0.11527381896972656
188	0.09677767753601074
189	0.068963623046875
190	0.2352818489074707
191	0.19570379257202147
192	0.10781261444091797
193	0.12935781478881836
194	0.0625156021118164
195	0.11220308303833008
196	0.1979835319519043
197	0.08174637794494628
198	0.06618299007415772
199	0.14317046165466307
200	0.15485746383666993
201	0.23790969848632812
202	0.12007987976074219
203	0.10900852203369141
204	0.30327579498291013
205	0.2075062561035156
206	0.11407073020935059
207	0.11183296203613281
208	0.08969334602355956
209	0.11366990089416504
210	0.10276445388793945
211	0.09308315277099609
212	0.042218375205993655
213	0.07155268669128417
214	0.08556797027587891
215	0.10091682434082032
216	0.07474016666412353
217	0.25730119705200194
218	0.06461569309234619
219	0.13792030334472657
220	0.20114151000976563
221	0.08315452575683593
222	0.04446132183074951
223	0.1831114959716797
224	0.09301610946655274
225	0.10902057647705078
226	0.06169259071350098
227	0.18272651672363283
228	0.05667140007019043
229	0.0604148530960083
230	0.05350132465362549
231	0.05369877338409424
